Public Law Title,FY,Amount,Deflator.Type,Source
"Trust, Receipts, and Other",1976,-147e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1977,26118e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1977,8238e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1977,32111e6,Current,Table 6.8 DOD BA By Title
Procurement,1977,27922e6,Current,Table 6.8 DOD BA By Title
RDT&E,1977,10439e6,Current,Table 6.8 DOD BA By Title
Military Construction,1977,2204e6,Current,Table 6.8 DOD BA By Title
Family Housing,1977,1258e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1977,22e7,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1977,-172e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1978,27246e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1978,918e7,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1978,34734e6,Current,Table 6.8 DOD BA By Title
Procurement,1978,29529e6,Current,Table 6.8 DOD BA By Title
RDT&E,1978,11371e6,Current,Table 6.8 DOD BA By Title
Military Construction,1978,1641e6,Current,Table 6.8 DOD BA By Title
Family Housing,1978,1346e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1978,423e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1978,-148e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1979,28703e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1979,10283e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1979,38038e6,Current,Table 6.8 DOD BA By Title
Procurement,1979,31428e6,Current,Table 6.8 DOD BA By Title
RDT&E,1979,12437e6,Current,Table 6.8 DOD BA By Title
Military Construction,1979,2319e6,Current,Table 6.8 DOD BA By Title
Family Housing,1979,1563e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1979,726e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1979,-492e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1980,31014e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1980,11965e6,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1980,46372e6,Current,Table 6.8 DOD BA By Title
Procurement,1980,35283e6,Current,Table 6.8 DOD BA By Title
RDT&E,1980,13561e6,Current,Table 6.8 DOD BA By Title
Military Construction,1980,2293e6,Current,Table 6.8 DOD BA By Title
Family Housing,1980,1526e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1980,1336e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1980,-727e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1981,36909e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1981,1384e7,Current,Table 6.8 DOD BA By Title
Operation and Maintenance,1981,55551e6,Current,Table 6.8 DOD BA By Title
Procurement,1981,48025e6,Current,Table 6.8 DOD BA By Title
RDT&E,1981,16609e6,Current,Table 6.8 DOD BA By Title
Military Construction,1981,3398e6,Current,Table 6.8 DOD BA By Title
Family Housing,1981,2004e6,Current,Table 6.8 DOD BA By Title
Revolving and Management Funds,1981,2677e6,Current,Table 6.8 DOD BA By Title
"Trust, Receipts, and Other",1981,-649e6,Current,Table 6.8 DOD BA By Title
Military Personnel,1982,42875e6,Current,Table 6.8 DOD BA By Title
"Retired Pay, Defense",1982,14986e6,Current,Table 6.8 DOD BA By Title
