FY,Service,Active.or.Civilians,Personnel
1944,Defense Agencies,Civilians,0
1945,Defense Agencies,Civilians,0
1946,Defense Agencies,Civilians,0
1947,Defense Agencies,Civilians,0
1948,Defense Agencies,Civilians,1e3
1949,Defense Agencies,Civilians,2e3
1950,Defense Agencies,Civilians,2e3
1951,Defense Agencies,Civilians,2e3
1952,Defense Agencies,Civilians,2e3
1953,Defense Agencies,Civilians,2e3
1954,Defense Agencies,Civilians,2e3
1955,Defense Agencies,Civilians,2e3
1956,Defense Agencies,Civilians,2e3
1957,Defense Agencies,Civilians,2e3
1958,Defense Agencies,Civilians,2e3
1959,Defense Agencies,Civilians,2e3
1960,Defense Agencies,Civilians,2e3
1961,Defense Agencies,Civilians,2e3
1962,Defense Agencies,Civilians,2e4
1963,Defense Agencies,Civilians,32e3
1964,Defense Agencies,Civilians,38e3
1965,Defense Agencies,Civilians,42e3
1966,Defense Agencies,Civilians,69e3
1967,Defense Agencies,Civilians,76e3
1968,Defense Agencies,Civilians,75e3
1969,Defense Agencies,Civilians,72e3
1970,Defense Agencies,Civilians,68e3
1971,Defense Agencies,Civilians,63e3
1972,Defense Agencies,Civilians,6e4
1973,Defense Agencies,Civilians,72e3
1974,Defense Agencies,Civilians,75e3
1975,Defense Agencies,Civilians,73e3
1976,Defense Agencies,Civilians,72e3
1977,Defense Agencies,Civilians,77e3
1978,Defense Agencies,Civilians,77e3
1979,Defense Agencies,Civilians,77e3
1980,Defense Agencies,Civilians,77e3
1981,Defense Agencies,Civilians,8e4
1982,Defense Agencies,Civilians,82e3
1983,Defense Agencies,Civilians,83e3
1984,Defense Agencies,Civilians,87e3
1985,Defense Agencies,Civilians,92e3
1986,Defense Agencies,Civilians,94e3
1987,Defense Agencies,Civilians,98e3
1988,Defense Agencies,Civilians,96e3
1989,Defense Agencies,Civilians,99e3
1990,Defense Agencies,Civilians,103e3
1991,Defense Agencies,Civilians,117e3
1992,Defense Agencies,Civilians,149e3
1993,Defense Agencies,Civilians,156e3
1994,Defense Agencies,Civilians,156e3
1995,Defense Agencies,Civilians,147e3
1996,Defense Agencies,Civilians,138e3
1997,Defense Agencies,Civilians,136e3
1998,Defense Agencies,Civilians,126e3
1999,Defense Agencies,Civilians,12e4
2000,Defense Agencies,Civilians,117e3
2001,Defense Agencies,Civilians,113e3
2002,Defense Agencies,Civilians,111e3
2003,Defense Agencies,Civilians,107e3
2004,Defense Agencies,Civilians,108e3
2005,Defense Agencies,Civilians,108e3
2006,Defense Agencies,Civilians,107e3
2007,Defense Agencies,Civilians,107e3
2008,Defense Agencies,Civilians,11e4
2009,Defense Agencies,Civilians,115e3
2010,Defense Agencies,Civilians,121e3
2011,Defense Agencies,Civilians,127e3
2012,Defense Agencies,Civilians,134e3
2013,Defense Agencies,Civilians,129e3
2014,Defense Agencies,Civilians,189e3
2015,Defense Agencies,Civilians,187e3
2016,Defense Agencies,Civilians,189e3
2017,Defense Agencies,Civilians,191e3
2018,Defense Agencies,Civilians,193e3
2019,Defense Agencies,Civilians,193e3
