source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1961,108000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1961,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1961,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1961,44643000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1961,8032000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1961,111392000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1961,125298000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1961,48112000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1961,8632000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1961,756000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1961,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1961,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1961,480566000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1961,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1962,12158000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1962,896000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1962,11562000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1962,16194000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1962,6269000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1962,915000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1962,440000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1962,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1962,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1962,48434000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1962,9124000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1962,118391000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1962,138427000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1962,47403000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1962,6999000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1962,3412000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1962,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1962,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1962,516738000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1962,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1963,12042000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1963,1015000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1963,11467000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1963,16026000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1963,7028000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1963,1286000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1963,556000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1963,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1963,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1963,49420000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1963,10421000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1963,115428000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1963,135292000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1963,52520000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1963,9453000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1963,4212000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1963,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1963,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1963,516245000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1963,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1964,12983000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1964,1211000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1964,11693000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1964,15028000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1964,7053000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1964,977000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1964,602000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1964,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1964,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1964,49547000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1964,11954000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1964,114806000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1964,122388000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1964,52189000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1964,7064000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1964,4501000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1964,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1964,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1964,502483000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1964,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1965,13430000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1965,1386000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1965,12563000000
