Military.Department,FY,Account,Public.Law.Title,Amount,account.categories,Source_Data
Army,2006,Hurricane Relief,Family..Housing,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,Family..Housing,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2007,Base,Family..Housing,1250000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2007,Global War on Terror,Family..Housing,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2007,Other Supplemental,Family..Housing,0,other,"FY22 Green Book, tbl 2.1"
Army,2008,Base,Family..Housing,1058000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2008,Global War on Terror,Family..Housing,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2003,Base,Revolving.Funds...Other,249000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2003,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Base,Revolving.Funds...Other,219000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2004,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2004,Other Supplemental,Revolving.Funds...Other,0,other,"FY22 Green Book, tbl 2.1"
Army,2005,Base,Revolving.Funds...Other,0,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2005,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2005,Hurricane & Tsunami Relief,Revolving.Funds...Other,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Base,Revolving.Funds...Other,460000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2006,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2006,Hurricane Relief,Revolving.Funds...Other,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2006,Avian Flu Relief,Revolving.Funds...Other,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2007,Base,Revolving.Funds...Other,628000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2007,Global War on Terror,Revolving.Funds...Other,0,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2007,Other Supplemental,Revolving.Funds...Other,0,other,"FY22 Green Book, tbl 2.1"
Army,2008,Base,Revolving.Funds...Other,5000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2008,Global War on Terror,Revolving.Funds...Other,1319000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2009,Base,Military.Personnel,52280000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2009,Recovery Act,Military.Personnel,0,other,"FY22 Green Book, tbl 2.1"
Army,2009,Global War on Terror,Military.Personnel,989000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2009,Overseas Contingency Ops,Military.Personnel,13945000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2010,Base,Military.Personnel,57917000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2010,Overseas Contingency Ops,Military.Personnel,12546000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2010,Haiti Earthquake,Military.Personnel,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2011,Base,Military.Personnel,58366000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2011,Overseas Contingency Ops,Military.Personnel,11672000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2012,Base,Military.Personnel,60811000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2012,Overseas Contingency Ops,Military.Personnel,7827000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2013,Base,Military.Personnel,56029000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2013,Overseas Contingency Ops,Military.Personnel,8925000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2013,Hurricane Sandy,Military.Personnel,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2014,Base,Military.Personnel,56336000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2014,Overseas Contingency Ops,Military.Personnel,5632000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2014,Iron Dome,Military.Personnel,0,other,"FY22 Green Book, tbl 2.1"
Army,2009,Base,O.M,40092000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2009,Recovery Act,O.M,1839000000,other,"FY22 Green Book, tbl 2.1"
Army,2009,Global War on Terror,O.M,39689000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2009,Overseas Contingency Ops,O.M,18655000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2010,Base,O.M,40562000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2010,Overseas Contingency Ops,O.M,70799000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2010,Haiti Earthquake,O.M,218000000,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2011,Base,O.M,42121000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2011,Overseas Contingency Ops,O.M,72085000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2012,Base,O.M,42171000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2012,Overseas Contingency Ops,O.M,54436000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2013,Base,O.M,44700000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2013,Overseas Contingency Ops,O.M,34464000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2013,Hurricane Sandy,O.M,9000000,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2014,Base,O.M,41012000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2014,Overseas Contingency Ops,O.M,35895000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2014,Iron Dome,O.M,0,other,"FY22 Green Book, tbl 2.1"
Army,2009,Base,Procurement,27385000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2009,Recovery Act,Procurement,0,other,"FY22 Green Book, tbl 2.1"
Army,2009,Global War on Terror,Procurement,3933000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2009,Overseas Contingency Ops,Procurement,11967000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2010,Base,Procurement,19818000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2010,Overseas Contingency Ops,Procurement,20245000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
Army,2010,Haiti Earthquake,Procurement,0,natural.disaster.or.viral,"FY22 Green Book, tbl 2.1"
Army,2011,Base,Procurement,19638000000,base.discretionary,"FY22 Green Book, tbl 2.1"
Army,2011,Overseas Contingency Ops,Procurement,16760000000,OCO.GWOT,"FY22 Green Book, tbl 2.1"
