Service,Public Law Title,FY,deflator.type,Amount,source.table,data.notes,source.file
Army,RDT&E,1959,Constant,83e8,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1959,Constant,1768e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1959,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1959,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1959,Constant,264e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1959,Current,3611e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1959,Current,3244e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1959,Current,1259e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1959,Current,1111e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1959,Current,236e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1959,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1959,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1959,Current,41e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1960,Constant,53747e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1960,Constant,31588e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1960,Constant,9207e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1960,Constant,7962e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1960,Constant,2198e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1960,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1960,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1960,Constant,383e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1960,Current,3667e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1960,Current,3235e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1960,Current,1379e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1960,Current,1102e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1960,Current,307e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1960,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1960,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1960,Current,59e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1961,Constant,53701e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1961,Constant,31389e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1961,Constant,9876e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1961,Constant,8267e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1961,Constant,1323e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1961,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Revolving and Management Funds,1961,Constant,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,"Trust, Receipts, and Other",1961,Constant,89e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Personnel,1961,Current,3705e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Operation and Maintenance,1961,Current,3384e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Procurement,1961,Current,1495e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,RDT&E,1961,Current,1147e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Military Construction,1961,Current,182e6,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
Army,Family Housing,1961,Current,0.0,6-19,All enacted war and supplemental funding is included,FY17 6-19_Army BA by Title.xlsx
