FY,Service,Active.or.Civilians,personnel
2003,Navy and Marine Corps,Civilians,198000
2003,Air Force,Civilians,159000
2003,Space Force,Civilians,0
2003,Defense Agencies,Civilians,107000
2004,Army,Active,500000
2004,Navy,Active,373000
2004,Marine Corps,Active,178000
2004,Air Force,Active,377000
2004,Space Force,Active,0
2004,Full Time Guard and Reserve,Active,66000
2004,Army,Civilians,227000
2004,Navy and Marine Corps,Civilians,195000
2004,Air Force,Civilians,160000
2004,Space Force,Civilians,0
2004,Defense Agencies,Civilians,108000
2005,Army,Active,492000
2005,Navy,Active,362000
2005,Marine Corps,Active,180000
2005,Air Force,Active,352000
2005,Space Force,Active,0
2005,Full Time Guard and Reserve,Active,69000
2005,Army,Civilians,231000
2005,Navy and Marine Corps,Civilians,190000
2005,Air Force,Civilians,163000
2005,Space Force,Civilians,0
2005,Defense Agencies,Civilians,108000
2006,Army,Active,505000
2006,Navy,Active,350000
2006,Marine Corps,Active,180000
2006,Air Force,Active,349000
2006,Space Force,Active,0
2006,Full Time Guard and Reserve,Active,71000
2006,Army,Civilians,237000
2006,Navy and Marine Corps,Civilians,189000
2006,Air Force,Civilians,167000
2006,Space Force,Civilians,0
2006,Defense Agencies,Civilians,107000
2007,Army,Active,522000
2007,Navy,Active,338000
2007,Marine Corps,Active,186000
2007,Air Force,Active,333000
2007,Space Force,Active,0
2007,Full Time Guard and Reserve,Active,72000
2007,Army,Civilians,238000
2007,Navy and Marine Corps,Civilians,187000
2007,Air Force,Civilians,163000
2007,Space Force,Civilians,0
2007,Defense Agencies,Civilians,107000
2008,Army,Active,544000
2008,Navy,Active,332000
2008,Marine Corps,Active,199000
2008,Air Force,Active,327000
2008,Space Force,Active,0
2008,Full Time Guard and Reserve,Active,72000
2008,Army,Civilians,246000
2008,Navy and Marine Corps,Civilians,189000
2008,Air Force,Civilians,162000
2008,Space Force,Civilians,0
2008,Defense Agencies,Civilians,110000
2009,Army,Active,553000
2009,Navy,Active,329000
2009,Marine Corps,Active,203000
2009,Air Force,Active,333000
2009,Space Force,Active,0
2009,Full Time Guard and Reserve,Active,75000
2009,Army,Civilians,263000
2009,Navy and Marine Corps,Civilians,197000
2009,Air Force,Civilians,164000
2009,Space Force,Civilians,0
2009,Defense Agencies,Civilians,115000
2010,Army,Active,566000
2010,Navy,Active,328000
2010,Marine Corps,Active,202000
2010,Air Force,Active,334000
2010,Space Force,Active,0
2010,Full Time Guard and Reserve,Active,76000
2010,Army,Civilians,276000
2010,Navy and Marine Corps,Civilians,209000
2010,Air Force,Civilians,172000
2010,Space Force,Civilians,0
2010,Defense Agencies,Civilians,121000
2011,Army,Active,566000
2011,Navy,Active,325000
2011,Marine Corps,Active,201000
2011,Air Force,Active,333000
2011,Space Force,Active,0
2011,Full Time Guard and Reserve,Active,76000
2011,Army,Civilians,284000
2011,Navy and Marine Corps,Civilians,212000
2011,Air Force,Civilians,184000
2011,Space Force,Civilians,0
2011,Defense Agencies,Civilians,127000
2012,Army,Active,550000
2012,Navy,Active,318000
2012,Marine Corps,Active,198000
2012,Air Force,Active,333000
2012,Space Force,Active,0
2012,Full Time Guard and Reserve,Active,77000
2012,Army,Civilians,275000
2012,Navy and Marine Corps,Civilians,213000
2012,Air Force,Civilians,178000
2012,Space Force,Civilians,0
2012,Defense Agencies,Civilians,134000
2013,Army,Active,532000
2013,Navy,Active,324000
2013,Marine Corps,Active,196000
2013,Air Force,Active,331000
2013,Space Force,Active,0
2013,Full Time Guard and Reserve,Active,77000
2013,Army,Civilians,256000
2013,Navy and Marine Corps,Civilians,208000
2013,Air Force,Civilians,180000
2013,Space Force,Civilians,0
2013,Defense Agencies,Civilians,129000
2014,Army,Active,508000
2014,Navy,Active,326000
2014,Marine Corps,Active,188000
2014,Air Force,Active,316000
2014,Space Force,Active,0
2014,Full Time Guard and Reserve,Active,77000
2014,Army,Civilians,207000
2014,Navy and Marine Corps,Civilians,193000
2014,Air Force,Civilians,167000
2014,Space Force,Civilians,0
2014,Defense Agencies,Civilians,189000
2015,Army,Active,491000
2015,Navy,Active,328000
2015,Marine Corps,Active,184000
2015,Air Force,Active,311000
2015,Space Force,Active,0
2015,Full Time Guard and Reserve,Active,76000
2015,Army,Civilians,206000
