budget.type,service,source.table,deflator.type,public.law.title,FY,amount
outlays,army,6.16,current,MILCON,1975,754000000
outlays,army,6.16,current,family.housing,1975,0
outlays,army,6.16,current,revolving.and.management,1975,0
outlays,army,6.16,constant,MILPERS,1975,57229000000
outlays,army,6.16,constant,O.M.,1975,35621000000
outlays,army,6.16,constant,Procurement,1975,10193000000
outlays,army,6.16,constant,RDT.E,1975,7568000000
outlays,army,6.16,constant,MILCON,1975,2531000000
outlays,army,6.16,constant,family.housing,1975,0
outlays,army,6.16,constant,revolving.and.management,1975,0
outlays,army,6.16,current,MILPERS,1976,9607000000
outlays,army,6.16,current,O.M.,1976,8271000000
outlays,army,6.16,current,Procurement,1976,3058000000
outlays,army,6.16,current,RDT.E,1976,1970000000
outlays,army,6.16,current,MILCON,1976,833000000
outlays,army,6.16,current,family.housing,1976,0
outlays,army,6.16,current,revolving.and.management,1976,20000000
outlays,army,6.16,constant,MILPERS,1976,56153000000
outlays,army,6.16,constant,O.M.,1976,36742000000
outlays,army,6.16,constant,Procurement,1976,11159000000
outlays,army,6.16,constant,RDT.E,1976,7477000000
outlays,army,6.16,constant,MILCON,1976,2697000000
outlays,army,6.16,constant,family.housing,1976,0
outlays,army,6.16,constant,revolving.and.management,1976,78000000
outlays,army,6.16,current,MILPERS,1977,9973000000
outlays,army,6.16,current,O.M.,1977,9157000000
outlays,army,6.16,current,Procurement,1977,4427000000
outlays,army,6.16,current,RDT.E,1977,2291000000
outlays,army,6.16,current,MILCON,1977,754000000
outlays,army,6.16,current,family.housing,1977,0
outlays,army,6.16,current,revolving.and.management,1977,100000000
outlays,army,6.16,constant,MILPERS,1977,55391000000
outlays,army,6.16,constant,O.M.,1977,37704000000
outlays,army,6.16,constant,Procurement,1977,15548000000
outlays,army,6.16,constant,RDT.E,1977,8211000000
outlays,army,6.16,constant,MILCON,1977,2411000000
outlays,army,6.16,constant,family.housing,1977,0
outlays,army,6.16,constant,revolving.and.management,1977,360000000
outlays,army,6.16,current,MILPERS,1978,10477000000
outlays,army,6.16,current,O.M.,1978,9883000000
outlays,army,6.16,current,Procurement,1978,5325000000
outlays,army,6.16,current,RDT.E,1978,2447000000
outlays,army,6.16,current,MILCON,1978,718000000
outlays,army,6.16,current,family.housing,1978,0
outlays,army,6.16,current,revolving.and.management,1978,100000000
outlays,army,6.16,constant,MILPERS,1978,54475000000
outlays,army,6.16,constant,O.M.,1978,37439000000
outlays,army,6.16,constant,Procurement,1978,17014000000
outlays,army,6.16,constant,RDT.E,1978,8088000000
outlays,army,6.16,constant,MILCON,1978,2147000000
outlays,army,6.16,constant,family.housing,1978,0
outlays,army,6.16,constant,revolving.and.management,1978,336000000
outlays,army,6.16,current,MILPERS,1979,11036000000
outlays,army,6.16,current,O.M.,1979,10752000000
outlays,army,6.16,current,Procurement,1979,6099000000
outlays,army,6.16,current,RDT.E,1979,2635000000
outlays,army,6.16,current,MILCON,1979,900000000
outlays,army,6.16,current,family.housing,1979,0
outlays,army,6.16,current,revolving.and.management,1979,74000000
outlays,army,6.16,constant,MILPERS,1979,54278000000
outlays,army,6.16,constant,O.M.,1979,38329000000
outlays,army,6.16,constant,Procurement,1979,17530000000
outlays,army,6.16,constant,RDT.E,1979,7889000000
outlays,army,6.16,constant,MILCON,1979,2504000000
outlays,army,6.16,constant,family.housing,1979,0
outlays,army,6.16,constant,revolving.and.management,1979,228000000
outlays,army,6.16,current,MILPERS,1980,12095000000
outlays,army,6.16,current,O.M.,1980,12303000000
outlays,army,6.16,current,Procurement,1980,6548000000
outlays,army,6.16,current,RDT.E,1980,2844000000
outlays,army,6.16,current,MILCON,1980,781000000
outlays,army,6.16,current,family.housing,1980,0
outlays,army,6.16,current,revolving.and.management,1980,0
outlays,army,6.16,constant,MILPERS,1980,54973000000
outlays,army,6.16,constant,O.M.,1980,39267000000
outlays,army,6.16,constant,Procurement,1980,17211000000
outlays,army,6.16,constant,RDT.E,1980,7858000000
outlays,army,6.16,constant,MILCON,1980,2091000000
outlays,army,6.16,constant,family.housing,1980,0
outlays,army,6.16,constant,revolving.and.management,1980,0
outlays,army,6.16,current,MILPERS,1981,14157000000
outlays,army,6.16,current,O.M.,1981,14419000000
