source.table,fy,current.constant,usa.or.foreign,direct.indirect.hire,pay.type,amount
tbl_6-15,1976,constant,foreign,indirect.hire,foreign.national.indirect.hire,3698417000
tbl_6-15,1977,constant,us,direct.hire,general.schedule,46182602000
tbl_6-15,1977,constant,us,direct.hire,wage.board,26787132000
tbl_6-15,1977,constant,foreign,direct.hire,foreign.nationals.direct.hire,1320763000
tbl_6-15,1977,constant,foreign,indirect.hire,foreign.national.indirect.hire,3509021000
tbl_6-15,1978,constant,us,direct.hire,general.schedule,46036144000
tbl_6-15,1978,constant,us,direct.hire,wage.board,25802510000
tbl_6-15,1978,constant,foreign,direct.hire,foreign.nationals.direct.hire,1258503000
tbl_6-15,1978,constant,foreign,indirect.hire,foreign.national.indirect.hire,4285487000
tbl_6-15,1979,constant,us,direct.hire,general.schedule,48401370000
tbl_6-15,1979,constant,us,direct.hire,wage.board,25569306000
tbl_6-15,1979,constant,foreign,direct.hire,foreign.nationals.direct.hire,1209914000
tbl_6-15,1979,constant,foreign,indirect.hire,foreign.national.indirect.hire,4247382000
tbl_6-15,1980,constant,us,direct.hire,general.schedule,49082840000
tbl_6-15,1980,constant,us,direct.hire,wage.board,26143023000
tbl_6-15,1980,constant,foreign,direct.hire,foreign.nationals.direct.hire,1176377000
tbl_6-15,1980,constant,foreign,indirect.hire,foreign.national.indirect.hire,4358539000
tbl_6-15,1981,constant,us,direct.hire,general.schedule,47855303000
tbl_6-15,1981,constant,us,direct.hire,wage.board,25906188000
tbl_6-15,1981,constant,foreign,direct.hire,foreign.nationals.direct.hire,1146671000
tbl_6-15,1981,constant,foreign,indirect.hire,foreign.national.indirect.hire,4402439000
tbl_6-15,1982,constant,us,direct.hire,general.schedule,51537882000
tbl_6-15,1982,constant,us,direct.hire,wage.board,27295279000
tbl_6-15,1982,constant,foreign,direct.hire,foreign.nationals.direct.hire,1145251000
tbl_6-15,1982,constant,foreign,indirect.hire,foreign.national.indirect.hire,4753395000
tbl_6-15,1983,constant,us,direct.hire,general.schedule,51993222000
tbl_6-15,1983,constant,us,direct.hire,wage.board,27660566000
tbl_6-15,1983,constant,foreign,direct.hire,foreign.nationals.direct.hire,1151098000
tbl_6-15,1983,constant,foreign,indirect.hire,foreign.national.indirect.hire,4790778000
tbl_6-15,1984,constant,us,direct.hire,general.schedule,53037379000
tbl_6-15,1984,constant,us,direct.hire,wage.board,28143331000
tbl_6-15,1984,constant,foreign,direct.hire,foreign.nationals.direct.hire,1189910000
tbl_6-15,1984,constant,foreign,indirect.hire,foreign.national.indirect.hire,4886919000
tbl_6-15,1985,constant,us,direct.hire,general.schedule,55239460000
tbl_6-15,1985,constant,us,direct.hire,wage.board,28543559000
