budget.type,service,source.table,deflator.type,public.law.title,FY,amount
outlays,army,6.22,current,RDT.E,1972,1779000000
outlays,army,6.22,current,MILCON,1972,423000000
outlays,army,6.22,current,family.housing,1972,0
outlays,army,6.22,current,revolving.and.management,1972,-17000000
outlays,army,6.22,current,trust.receipts.and.other,1972,-42000000
outlays,army,6.22,constant,MILPERS,1972,70781000000
outlays,army,6.22,constant,O.M.,1972,46078000000
outlays,army,6.22,constant,Procurement,1972,21036000000
outlays,army,6.22,constant,RDT.E,1972,9960000000
outlays,army,6.22,constant,MILCON,1972,2327000000
outlays,army,6.22,constant,family.housing,1972,0
outlays,army,6.22,constant,revolving.and.management,1972,-88000000
outlays,army,6.22,constant,trust.receipts.and.other,1972,-225000000
outlays,army,6.22,current,MILPERS,1973,8535000000
outlays,army,6.22,current,O.M.,1973,6939000000
outlays,army,6.22,current,Procurement,1973,2781000000
outlays,army,6.22,current,RDT.E,1973,1912000000
outlays,army,6.22,current,MILCON,1973,421000000
outlays,army,6.22,current,family.housing,1973,0
outlays,army,6.22,current,revolving.and.management,1973,-347000000
outlays,army,6.22,current,trust.receipts.and.other,1973,-56000000
outlays,army,6.22,constant,MILPERS,1973,60917000000
outlays,army,6.22,constant,O.M.,1973,40661000000
outlays,army,6.22,constant,Procurement,1973,15104000000
outlays,army,6.22,constant,RDT.E,1973,10243000000
outlays,army,6.22,constant,MILCON,1973,2218000000
outlays,army,6.22,constant,family.housing,1973,0
outlays,army,6.22,constant,revolving.and.management,1973,-1772000000
outlays,army,6.22,constant,trust.receipts.and.other,1973,-285000000
outlays,army,6.22,current,MILPERS,1974,8733000000
outlays,army,6.22,current,O.M.,1974,7039000000
outlays,army,6.22,current,Procurement,1974,2784000000
outlays,army,6.22,current,RDT.E,1974,2190000000
outlays,army,6.22,current,MILCON,1974,693000000
outlays,army,6.22,current,family.housing,1974,0
outlays,army,6.22,current,revolving.and.management,1974,13000000
outlays,army,6.22,current,trust.receipts.and.other,1974,-57000000
outlays,army,6.22,constant,MILPERS,1974,58550000000
outlays,army,6.22,constant,O.M.,1974,38141000000
outlays,army,6.22,constant,Procurement,1974,14600000000
outlays,army,6.22,constant,RDT.E,1974,10915000000
outlays,army,6.22,constant,MILCON,1974,3372000000
outlays,army,6.22,constant,family.housing,1974,0
outlays,army,6.22,constant,revolving.and.management,1974,61000000
outlays,army,6.22,constant,trust.receipts.and.other,1974,-274000000
outlays,army,6.22,current,MILPERS,1975,9271000000
outlays,army,6.22,current,O.M.,1975,7545000000
outlays,army,6.22,current,Procurement,1975,2515000000
outlays,army,6.22,current,RDT.E,1975,1964000000
outlays,army,6.22,current,MILCON,1975,624000000
outlays,army,6.22,current,family.housing,1975,0
outlays,army,6.22,current,revolving.and.management,1975,39000000
outlays,army,6.22,current,trust.receipts.and.other,1975,-38000000
outlays,army,6.22,constant,MILPERS,1975,57525000000
outlays,army,6.22,constant,O.M.,1975,37072000000
outlays,army,6.22,constant,Procurement,1975,11400000000
outlays,army,6.22,constant,RDT.E,1975,8826000000
outlays,army,6.22,constant,MILCON,1975,2651000000
outlays,army,6.22,constant,family.housing,1975,0
outlays,army,6.22,constant,revolving.and.management,1975,162000000
outlays,army,6.22,constant,trust.receipts.and.other,1975,-158000000
outlays,army,6.22,current,MILPERS,1976,9515000000
outlays,army,6.22,current,O.M.,1976,7926000000
outlays,army,6.22,current,Procurement,1976,1353000000
