source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1961,11356000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1961,788000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1961,10671000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1961,14238000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1961,6366000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1961,1115000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1961,108000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1961,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1961,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1961,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1961,173795000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1961,7968000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1961,110764000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1961,124280000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1961,47680000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1961,8551000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1961,750000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1961,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1961,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1961,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1962,12158000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1962,896000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1962,11562000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1962,16194000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1962,6269000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1962,915000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1962,440000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1962,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1962,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1962,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1962,188045000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1962,9051000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1962,117747000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1962,137300000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1962,46968000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1962,6933000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1962,3374000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1962,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1962,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1962,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1963,12042000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1963,1015000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1963,11467000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1963,16026000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1963,7028000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1963,1286000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1963,556000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1963,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1963,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1963,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1963,184092000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1963,10338000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1963,114777000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1963,134187000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1963,52033000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1963,9369000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1963,4167000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1963,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1963,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1963,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1964,12983000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1964,1211000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1964,11693000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1964,15028000000
tbl.6.01.TOA.by.Public.Law,TOA,current,RDTE,1964,7053000000
tbl.6.01.TOA.by.Public.Law,TOA,current,MILCON,1964,977000000
tbl.6.01.TOA.by.Public.Law,TOA,current,family.housing,1964,602000000
tbl.6.01.TOA.by.Public.Law,TOA,current,revolving.and.management.funds,1964,0
tbl.6.01.TOA.by.Public.Law,TOA,current,trust.receipts.and.other,1964,0
tbl.6.01.TOA.by.Public.Law,TOA,current,OCO.placeholder,1964,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,military.personnel,1964,184731000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,retired.pay.Defense,1964,11858000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,OM,1964,114155000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,procurement,1964,121403000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,RDTE,1964,51685000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,MILCON,1964,6997000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,family.housing,1964,4454000000
tbl.6.01.TOA.by.Public.Law,TOA,constant,revolving.and.management.funds,1964,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,trust.receipts.and.other,1964,0
tbl.6.01.TOA.by.Public.Law,TOA,constant,OCO.placeholder,1964,0
tbl.6.01.TOA.by.Public.Law,TOA,current,military.personnel,1965,13430000000
tbl.6.01.TOA.by.Public.Law,TOA,current,retired.pay.Defense,1965,1386000000
tbl.6.01.TOA.by.Public.Law,TOA,current,OM,1965,12563000000
tbl.6.01.TOA.by.Public.Law,TOA,current,procurement,1965,14111000000
