source.table,budget.type,deflator.type,public.law.title,FY,amount
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1961,790000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1961,10702000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1961,11716000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1961,6033000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1961,1061000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1961,30000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1961,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1961,65000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1961,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1961,171248000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1961,7985000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1961,110997000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1961,103716000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1961,45333000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1961,8165000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1961,210000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1961,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1961,448000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1961,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1962,11790000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1962,920000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1962,11503000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1962,15746000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1962,6402000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1962,787000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1962,440000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1962,325000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1962,101000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1962,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1962,185471000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1962,9295000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1962,117403000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1962,136910000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1962,47903000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1962,6023000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1962,3374000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1962,2263000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1962,704000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1962,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1963,11713000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1963,1026000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1963,11496000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1963,16647000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1963,6993000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1963,1204000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1963,590000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1963,1000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1963,-109000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1963,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1963,181798000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1963,10449000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OM,1963,114996000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,procurement,1963,141053000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,RDTE,1963,51793000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,MILCON,1963,8794000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,family.housing,1963,4408000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,revolving.and.management.funds,1963,6000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,trust.receipts.and.other,1963,-758000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,OCO.placeholder,1963,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,military.personnel,1964,12655000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,retired.pay.Defense,1964,1228000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OM,1964,11705000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,procurement,1964,15645000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,RDTE,1964,6984000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,MILCON,1964,949000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,family.housing,1964,644000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,revolving.and.management.funds,1964,0
tbl.6.08_BA.by.Public.Law.Title,BA,current,trust.receipts.and.other,1964,-183000000
tbl.6.08_BA.by.Public.Law.Title,BA,current,OCO.placeholder,1964,0
tbl.6.08_BA.by.Public.Law.Title,BA,constant,military.personnel,1964,182456000000
tbl.6.08_BA.by.Public.Law.Title,BA,constant,retired.pay.Defense,1964,12023000000
